Radial Distance r (a.u.),Computed Wavefunction
2.57,0.02131478086524062
2.575,0.021162617378175222
2.58,0.02101156557828485
2.585,0.02086161707392873
2.59,0.020712763539816374
2.595,0.020564996716447573
2.6,0.020418308409557526
2.605,0.020272690489568746
2.61,0.02012813489104533
2.615,0.019984633612154815
2.62,0.019842178714133418
2.625,0.019700762320755905
2.63,0.019560376617812097
2.6350000000000002,0.01942101385258624
2.64,0.019282666333341827
2.645,0.019145326428811504
2.65,0.019008986567690938
2.6550000000000002,0.01887363923813809
2.66,0.018739276987275687
2.665,0.01860589242070013
2.67,0.01847347820199301
2.6750000000000003,0.018342027052238048
2.68,0.0182115317495422
2.685,0.018081985128560983
2.69,0.01795338008002821
2.695,0.017825709550289875
2.7,0.017698966540842485
2.705,0.017573144107874916
2.71,0.01744823536181511
2.715,0.017324233466880567
2.72,0.017201131640632573
2.725,0.017078923153534837
2.73,0.016957601328516203
2.735,0.01683715954053653
2.74,0.01671759121615724
2.745,0.01659888983311499
2.75,0.016481048919900414
2.755,0.01636406205533873
2.7600000000000002,0.01624792286817569
2.765,0.01613262503666649
2.77,0.016018162288168634
2.775,0.015904528398737957
2.7800000000000002,0.015791717192728365
2.785,0.015679722542396326
2.79,0.015568538367506402
2.795,0.01545815863494268
2.8000000000000003,0.015348577358322476
2.805,0.01523978859761319
2.81,0.015131786458753684
2.815,0.015024565093277438
2.82,0.014918118697940871
2.825,0.01481244151435318
2.83,0.01470752782861059
2.835,0.01460337197093312
2.84,0.014499968315305159
2.845,0.014397311279118946
2.85,0.0142953953228207
2.855,0.014194214949560687
2.86,0.014093764704845458
2.865,0.013994039176194241
2.87,0.013895032992797146
2.875,0.013796740825177225
2.88,0.013699157384854988
2.8850000000000002,0.01360227742401578
2.89,0.013506095735180842
2.895,0.013410607150880358
2.9,0.013315806543329489
2.9050000000000002,0.013221688824107711
2.91,0.01312824894384051
2.915,0.013035481891883721
2.92,0.01294338269601124
2.9250000000000003,0.012851946422104616
2.93,0.012761168173846038
2.935,0.012671043092413414
2.94,0.012581566356178592
2.945,0.012492733180407643
2.95,0.012404538816964345
2.955,0.012316978554015671
2.96,0.012230047715740091
2.965,0.012143741662038205
2.97,0.012058055788246388
2.975,0.01197298552485195
2.98,0.011888526337211672
2.985,0.011804673725272328
2.99,0.011721423223293271
2.995,0.01163877039957232
3.0,0.011556710856173049
3.005,0.01147524022865474
3.0100000000000002,0.011394354185805061
3.015,0.011314048429374357
3.02,0.01123431869381261
3.025,0.01115516074600852
3.0300000000000002,0.011076570385030756
3.035,0.01099854344187167
3.04,0.01092107577919272
3.045,0.010844163291072677
3.0500000000000003,0.0107678019027572
3.055,0.010691987570411447
3.06,0.010616716280873949
3.065,0.010541984051412878
3.0700000000000003,0.010467786929484814
3.075,0.010394120992494826
3.08,0.010320982347558799
3.085,0.010248367131268171
3.09,0.010176271509456571
3.095,0.010104691676967339
3.1,0.01003362385742486
3.105,0.00996306430300639
3.11,0.009893009294216349
3.115,0.009823455139662029
3.12,0.009754398175832475
3.125,0.009685834766877472
3.13,0.009617761304389568
3.1350000000000002,0.009550174207187874
3.14,0.009483069921102734
3.145,0.009416444918763613
3.15,0.009350295699387499
3.1550000000000002,0.009284618788569749
3.16,0.009219410738076578
3.165,0.009154668125639245
3.17,0.009090387554749729
3.1750000000000003,0.009026565654458571
3.18,0.008963199079174063
3.185,0.008900284508463118
3.19,0.00883781864685385
3.1950000000000003,0.008775798223640012
3.2,0.008714219992686737
3.205,0.008653080732237955
3.21,0.00859237724472568
3.215,0.008532106356580499
3.22,0.008472264918043839
